Size,Algo,Time,Swaps
100,Classic,5.417e-06,463
100,Hibbard,5.334e-06,411
100,Fibonacci,5.792e-06,357
600,Classic,4.3792e-05,4082
600,Hibbard,4.2542e-05,3603
600,Fibonacci,5e-05,3615
1100,Classic,8.5958e-05,8033
1100,Hibbard,8.9833e-05,8443
1100,Fibonacci,0.0001015,7500
1600,Classic,0.000135959,15232
1600,Hibbard,0.000132083,12560
1600,Fibonacci,0.000160791,13868
2100,Classic,0.000188375,22351
2100,Hibbard,0.000184167,19616
2100,Fibonacci,0.000218083,22568
2600,Classic,0.000239167,28050
2600,Hibbard,0.0002395,26943
2600,Fibonacci,0.000271875,24303
3100,Classic,0.000306375,47388
3100,Hibbard,0.000290792,32272
3100,Fibonacci,0.000344041,36411
3600,Classic,0.000355625,52267
3600,Hibbard,0.00035125,37240
3600,Fibonacci,0.000397125,38570
4100,Classic,0.000483,102426
4100,Hibbard,0.000406209,45806
4100,Fibonacci,0.000458625,42215
4600,Classic,0.000461833,56089
4600,Hibbard,0.000460833,49247
4600,Fibonacci,0.000562333,52167
5100,Classic,0.000514166,53973
5100,Hibbard,0.00051325,56001
5100,Fibonacci,0.000618458,62579
5600,Classic,0.000587625,68704
5600,Hibbard,0.000601625,69765
5600,Fibonacci,0.000681333,71656
6100,Classic,0.0006855,75360
6100,Hibbard,0.000610917,69234
6100,Fibonacci,0.00070275,77255
6600,Classic,0.000649625,85795
6600,Hibbard,0.00068175,75812
6600,Fibonacci,0.000787209,87725
7100,Classic,0.000779667,84725
7100,Hibbard,0.000722459,92270
7100,Fibonacci,0.000827958,95246
7600,Classic,0.000725125,98368
7600,Hibbard,0.000751084,92661
7600,Fibonacci,0.000930208,103001
8100,Classic,0.000797583,107620
8100,Hibbard,0.00079575,100510
8100,Fibonacci,0.00145354,132174
8600,Classic,0.000870667,125822
8600,Hibbard,0.000870958,109680
8600,Fibonacci,0.00104492,131895
9100,Classic,0.000934083,126262
9100,Hibbard,0.0009615,115135
9100,Fibonacci,0.00117058,141502
9600,Classic,0.000981084,164056
9600,Hibbard,0.000963,119063
9600,Fibonacci,0.00113979,129488
